Location Code,Location,Population,House Prices,A_CaffeNero,A_Costa,A_Esquires,A_Greggs,A_MuffinBreak,A_PretAManger,A_Starbucks,C_CaffeNero,C_Costa,C_Esquires,C_Greggs,C_MuffinBreak,C_PretAManger,C_Starbucks
E07000096,Dacorum,"154,280","£375,000.00",0.65,2.59,0,0.65,0.65,0,1.94,1,4,0,1,1,0,3
E07000178,Oxford,"154,327","£400,000.00",2.59,5.83,0,0.65,0,1.3,2.59,4,9,0,1,0,2,4
W06000005,Flintshire,"155,593","£162,250.00",0,3.21,0,3.21,0,0,3.86,0,5,0,5,0,0,6
E07000012,South Cambridgeshire,"157,519","£360,000.00",0,2.54,0,0.63,0,0,0.63,0,4,0,1,0,0,1
E06000037,West Berkshire,"158,527","£350,000.00",1.26,6.94,0,1.89,0,0.63,2.52,2,11,0,3,0,1,4
E06000012,North East Lincolnshire,"159,821","£130,000.00",0.63,1.25,0,3.13,0,0,1.25,1,2,0,5,0,0,2
E07000224,Arun,"159,827","£287,000.00",0,3.75,0,1.88,0,0,0,0,6,0,3,0,0,0
E07000065,Wealden,"160,175","£319,950.00",0,4.37,0,0.62,0,0,1.25,0,7,0,1,0,0,2
S12000014,Falkirk,"160,340","£156,360.00",0.62,3.12,0,4.99,0,0,1.25,1,5,0,8,0,0,2
E07000165,Harrogate,"160,533","£272,500.00",2.49,3.74,0,2.49,0,0,1.25,4,6,0,4,0,0,2
N09000011,East Coast,"160,864","£155,205.00",1.86,1.86,0,0.62,0,0,1.86,3,3,0,1,0,0,3
E06000038,Reading,"163,203","£310,000.00",2.45,6.13,0,0,0,1.84,4.29,4,10,0,0,0,3,7
E07000106,Canterbury,"164,553","£300,000.00",1.82,3.65,0,1.22,0,0.61,1.22,3,6,0,2,0,1,2
E07000189,South Somerset,"167,861","£218,998.00",0.6,2.38,0,2.98,0,0,0.6,1,4,0,5,0,0,1
E06000041,Wokingham,"167,979","£420,000.00",0.6,2.98,0,1.79,0,0,0,1,5,0,3,0,0,0
E07000110,Maidstone,"169,955","£311,000.00",1.18,5.88,0.59,1.18,0.59,0,1.18,2,10,1,2,1,0,2
E06000055,Bedford,"171,623","£280,000.00",0,3.5,0,1.17,0,0,1.75,0,6,0,2,0,0,3
E06000013,North Lincolnshire,"172,005","£140,000.00",0,3.49,0,4.07,0,0,1.74,0,6,0,7,0,0,3
E06000034,Thurrock,"172,525","£287,500.00",0.58,4.06,0,1.16,0,0.58,1.16,1,7,0,2,0,1,2
E07000007,Wycombe,"174,641","£372,000.00",0.57,4.58,0,1.15,0.57,0.57,1.72,1,8,0,2,1,1,3
E07000084,Basingstoke and Deane,"175,729","£323,000.00",1.14,4.55,0,5.12,0,0.57,3.98,2,8,0,9,0,1,7
E07000070,Chelmsford,"177,079","£340,000.00",1.13,6.78,0,2.82,1.13,0.56,0.56,2,12,0,5,2,1,1
E07000011,Huntingdonshire,"177,352","£270,000.00",1.13,5.07,0,5.07,0,0,0.56,2,9,0,9,0,0,1
S12000038,Renfrewshire,"177,790","£150,819.00",0.56,1.12,0,4.5,0,0,2.25,1,2,0,8,0,0,4
E06000020,Telford and Wrekin,"177,799","£169,950.00",0,6.19,0,5.62,0,0,1.12,0,11,0,10,0,0,2
E07000091,New Forest,"179,753","£325,250.00",1.11,3.89,0,2.23,0,0,0,2,7,0,4,0,0,0
N09000010,Newry Mourne and Down,"180,012","£158,669.00",1.11,1.67,0,0.56,0,0,1.11,2,3,0,1,0,0,2
E08000013,St. Helens,"180,049","£134,000.00",0.56,2.78,0,0,0,0,0.56,1,5,0,0,0,0,1
W06000018,Caerphilly,"181,019","£130,000.00",0,1.1,0.55,3.87,0,0,0,0,2,1,7,0,0,0
S12000040,West Lothian,"182,140","£188,062.00",0.55,2.75,0,3.84,0.55,0,2.2,1,5,0,7,1,0,4
E06000033,Southend-on-Sea,"182,463","£283,995.00",0.55,2.74,0,0,0.55,0,1.1,1,5,0,0,1,0,2
E07000130,Charnwood,"182,643","£218,000.00",0.55,2.19,0,2.19,0.55,0,1.64,1,4,0,4,1,0,3
E07000066,Basildon,"185,862","£295,000.00",0,4.3,0.54,2.15,0.54,0,1.61,0,8,1,4,1,0,3
W06000010,Carmarthenshire,"187,568","£139,950.00",0.53,4.27,0,3.2,0,0,2.13,1,8,0,6,0,0,4
E08000002,Bury,"190,108","£170,000.00",0,2.63,0,1.05,0,0,0.53,0,5,0,2,0,0,1
E06000022,Bath and North East Somerset,"192,106","£327,000.00",2.08,4.16,0,0.52,0,1.04,1.56,4,8,0,1,0,2,3
E06000019,"Herefordshire, County of","192,107","£235,000.00",0.52,1.56,0,3.64,0,0,0.52,1,3,0,7,0,0,1
E07000071,Colchester,"192,523","£270,000.00",1.04,3.64,0,2.08,0,0,2.08,2,7,0,4,0,0,4
E06000028,Bournemouth,"194,500","£255,000.00",1.54,4.63,0.51,0,0,0,2.57,3,9,1,0,0,0,5
E06000004,Stockton-on-Tees,"197,213","£146,000.00",1.01,5.07,0,3.55,0,0,0.51,2,10,0,7,0,0,1
E07000004,Aylesbury Vale,"199,448","£335,000.00",0.5,3.51,1,1.5,0,0,0,1,7,2,3,0,0,0
E06000031,Peterborough,"201,041","£187,500.00",0.5,3.48,0,2.49,0,0.5,3.98,1,7,0,5,0,1,8
E08000037,Gateshead,"202,508","£139,950.00",0.99,6.42,0,0.99,0.49,0,1.98,2,13,0,2,1,0,4
E08000022,North Tyneside,"205,985","£171,000.00",0,3.4,0,0.49,0,0,0.49,0,7,0,1,0,0,1
E06000007,Warrington,"209,547","£185,000.00",0.48,5.25,0.48,0.95,0,0,3.34,1,11,1,2,0,0,7
E06000014,York,"209,893","£241,000.00",2.38,5.72,0,0.95,0,0.95,2.38,5,12,0,2,0,2,5
E08000033,Calderdale,"210,082","£142,500.00",0.48,1.9,0,0.48,0,0,2.38,1,4,0,1,0,0,5
E06000024,North Somerset,"213,919","£250,000.00",0.47,7.01,0,2.8,0,0,1.87,1,15,0,6,0,0,4
N09000002,Armagh Banbridge and Craigavon,"214,090","£135,913.00",0.47,1.87,0.47,0.47,0,0,1.4,1,4,1,1,0,0,3
E06000032,Luton,"214,109","£250,000.00",0,1.87,0,1.87,0.47,0.47,1.4,0,4,0,4,1,1,3
E08000029,Solihull,"214,909","£275,000.00",1.86,6.98,0,0.93,0,0.47,3.72,4,15,0,2,0,1,8
E06000044,Portsmouth,"215,133","£213,500.00",0.46,6.04,0,0,0,0.46,2.79,1,13,0,0,0,1,6
E08000005,Rochdale,"220,001","£135,000.00",0,3.18,0,0.91,0,0,0.91,0,7,0,2,0,0,2
E06000030,Swindon,"221,996","£230,000.00",0.45,5.41,0,3.15,0,0,1.35,1,12,0,7,0,0,3
E07000154,Northampton,"225,146","£205,000.00",0.44,4,0.44,0.44,0.44,0,1.78,1,9,1,1,1,0,4
E08000008,Tameside,"225,197","£143,000.00",0,1.78,0,0.44,0,0,1.33,0,4,0,1,0,0,3
S12000033,Aberdeen City,"227,560","£193,726.00",1.32,5.71,0,0,0,0.88,3.52,3,13,0,0,0,2,8
S12000017,Highland,"235,540","£186,221.00",0.42,2.97,0,0,0,0,1.7,1,7,0,0,0,0,4
E08000004,Oldham,"235,623","£131,150.00",0,1.7,0,0,0,0,0,0,4,0,0,0,0,0
E08000009,Trafford,"236,370","£261,000.00",1.27,4.65,0,0,0,0.42,1.69,3,11,0,0,0,1,4
W06000016,Rhondda Cynon Taf,"240,131","£111,995.00",0,2.08,0,5,0,0,0.42,0,5,0,12,0,0,1
E08000016,Barnsley,"245,199","£131,000.00",0,1.22,0,2.85,0,0,0.82,0,3,0,7,0,0,2
W06000011,Swansea,"246,466","£145,000.00",0.41,5.68,0,0.41,0,0,2.03,1,14,0,1,0,0,5
E06000045,Southampton,"252,796","£213,651.00",0.4,4.75,0,0,0,0.4,1.19,1,12,0,0,0,1,3
E08000006,Salford,"254,408","£160,000.00",0.39,1.57,0,0,0,0,0,1,4,0,0,0,0,0
E06000021,Stoke-on-Trent,"255,833","£117,000.00",0.39,3.91,0.39,1.17,0,0,0.78,1,10,1,3,0,0,2
E06000015,Derby,"257,174","£159,950.00",0.39,4.28,0,1.56,0.39,0,0.39,1,11,0,4,1,0,1
E06000010,"Kingston upon Hull, City of","260,645","£115,000.00",1.15,3.07,0,2.3,0.38,0,1.53,3,8,0,6,1,0,4
S12000034,Aberdeenshire,"261,470","£215,928.00",0,0.76,0,1.15,0,0,0.38,0,2,0,3,0,0,1
E08000031,Wolverhampton,"262,008","£150,000.00",0.38,1.53,0,1.15,0,0,0.76,1,4,0,3,0,0,2
E06000026,Plymouth,"263,100","£176,000.00",0,2.28,0,0.38,0,0,0,0,6,0,1,0,0,0
E08000018,Rotherham,"264,671","£140,000.00",0,1.89,0,2.64,0,0,1.89,0,5,0,7,0,0,5
E06000042,Milton Keynes,"268,607","£285,000.00",0.74,7.07,0,0.74,0,0.37,2.61,2,19,0,2,0,1,7
E08000014,Sefton,"275,396","£170,000.00",1.09,3.63,0,2.18,0,0,0.36,3,10,0,6,0,0,1
E08000024,Sunderland,"277,417","£129,865.00",0.36,2.52,0.36,1.8,0,0,0.36,1,7,1,5,0,0,1
E06000035,Medway,"277,855","£245,000.00",0,3.96,0,1.8,0.36,0,1.08,0,11,0,5,1,0,3
E06000025,South Gloucestershire,"282,644","£270,000.00",0.35,5.31,0.35,2.12,0,0.35,1.42,1,15,1,6,0,1,4
E08000030,Walsall,"283,378","£159,000.00",0,1.76,0,0.35,0,0,0.71,0,5,0,1,0,0,2
E06000056,Central Bedfordshire,"283,606","£315,000.00",0.35,3.53,0,2.12,0,0,1.41,1,10,0,6,0,0,4
E08000001,Bolton,"285,372","£135,000.00",0.35,2.8,0,0,0,0,1.4,1,8,0,0,0,0,4
E06000043,Brighton and Hove,"290,395","£357,500.00",1.72,2.75,0,0,0,0,0.34,5,8,0,0,0,0,1
E08000007,Stockport,"291,775","£225,475.00",0.34,2.06,0,0.69,0,0,0.69,1,6,0,2,0,0,2
E08000021,Newcastle upon Tyne,"300,196","£162,000.00",1.67,4,0,2,0,0,1.67,5,12,0,6,0,0,5
E08000017,Doncaster,"310,542","£130,000.00",0.32,2.9,0.32,3.54,0,0,0.64,1,9,1,11,0,0,2
S12000029,South Lanarkshire,"319,020","£160,517.00",0,3.13,0,5.64,0.31,0,1.25,0,10,0,18,1,0,4
E06000057,Northumberland,"320,274","£168,995.00",0.62,3.12,0,4.06,0.31,0,0.94,2,10,0,13,1,0,3
E06000051,Shropshire,"320,274","£215,000.00",0.31,4.37,0,3.43,0,0,3.12,1,14,0,11,0,0,10
E08000027,Dudley,"320,626","£165,000.00",0.31,3.43,0,0.94,0.31,0,0.62,1,11,0,3,1,0,2
E08000015,Wirral,"323,235","£165,000.00",0.31,1.86,0,0,0,0,0.93,1,6,0,0,0,0,3
E08000010,Wigan,"326,088","£140,000.00",0.31,2.15,0,0.31,0.31,0,0.61,1,7,0,1,1,0,2
E08000028,Sandwell,"327,378","£150,000.00",0,2.14,0,0,0,0,0.61,0,7,0,0,0,0,2
E06000018,Nottingham,"331,069","£139,950.00",2.11,3.93,0,0.6,0,0.3,1.21,7,13,0,2,0,1,4
E06000011,East Riding of Yorkshire,"339,614","£180,000.00",0.59,2.94,0,1.77,0,0,0.59,2,10,0,6,0,0,2
S12000044,North Lanarkshire,"340,180","£138,442.00",0,2.06,0,4.41,0,0,0,0,7,0,15,0,0,0
E06000050,Cheshire West and Chester,"340,502","£195,000.00",0.88,6.17,0,2.35,0.29,0.29,2.06,3,21,0,8,1,1,7
N09000003,Belfast,"341,877","£155,994.00",2.63,2.63,0,0,0,0,2.63,9,9,0,0,0,0,9
E08000036,Wakefield,"345,038","£154,000.00",0.58,2.9,0.29,2.32,0,0,2.03,2,10,1,8,0,0,7
E06000016,Leicester,"355,218","£173,000.00",0.84,2.25,0.28,0.56,0,0,0.84,3,8,1,2,0,0,3
W06000015,Cardiff,"364,248","£200,000.00",1.1,3.29,0,0.27,0,0,3.29,4,12,0,1,0,0,12
